"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","39 - Bruntsfield Place S/Bound","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","2","12","19","21"
"","01.00-01.59","1","16","19","20"
"","02.00-02.59","2","14","9","11"
"","03.00-03.59","2","14","17","19"
"","04.00-04.59","0","0","5","5"
"","05.00-05.59","0","0","5","5"
"","06.00-06.59","0","0","3","3"
"","07.00-07.59","2","20","7","9"
"","08.00-08.59","0","0","27","27"
"","09.00-09.59","7","19","60","67"
"","10.00-10.59","9","18","95","104"
"","11.00-11.59","11","17","117","128"
"","12.00-12.59","9","18","139","148"
"","13.00-13.59","21","17","171","192"
"","14.00-14.59","13","17","154","167"
"","15.00-15.59","13","18","150","163"
"","16.00-16.59","8","17","172","180"
"","17.00-17.59","11","19","133","144"
"","18.00-18.59","1","18","106","107"
"","19.00-19.59","5","17","84","89"
"","20.00-20.59","7","19","64","71"
"","21.00-21.59","5","16","51","56"
"","22.00-22.59","2","19","24","26"
"","23.00-23.59","11","18","10","21"
"","Total","142","","1641","1783"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","17","2","3"
"","01.00-01.59","1","13","2","3"
"","02.00-02.59","1","19","1","2"
"","03.00-03.59","0","0","3","3"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","2","22","6","8"
"","06.00-06.59","2","19","8","10"
"","07.00-07.59","3","16","27","30"
"","08.00-08.59","20","18","86","106"
"","09.00-09.59","16","18","91","107"
"","10.00-10.59","19","17","136","155"
"","11.00-11.59","12","17","127","139"
"","12.00-12.59","10","17","165","175"
"","13.00-13.59","9","18","206","215"
"","14.00-14.59","26","17","117","143"
"","15.00-15.59","15","18","137","152"
"","16.00-16.59","17","19","186","203"
"","17.00-17.59","60","18","268","328"
"","18.00-18.59","55","19","168","223"
"","19.00-19.59","0","0","150","150"
"","20.00-20.59","28","18","103","131"
"","21.00-21.59","7","19","47","54"
"","22.00-22.59","3","17","35","38"
"","23.00-23.59","8","17","15","23"
"","Total","315","","2086","2401"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","15","16","17"
"","01.00-01.59","3","18","2","5"
"","02.00-02.59","0","0","3","3"
"","03.00-03.59","0","0","3","3"
"","04.00-04.59","0","0","2","2"
"","05.00-05.59","2","17","9","11"
"","06.00-06.59","3","18","10","13"
"","07.00-07.59","3","18","47","50"
"","08.00-08.59","17","18","94","111"
"","09.00-09.59","9","17","93","102"
"","10.00-10.59","19","17","129","148"
"","11.00-11.59","7","15","113","120"
"","12.00-12.59","9","18","160","169"
"","13.00-13.59","14","17","182","196"
"","14.00-14.59","9","16","118","127"
"","15.00-15.59","12","20","192","204"
"","16.00-16.59","31","18","180","211"
"","17.00-17.59","62","18","252","314"
"","18.00-18.59","41","17","181","222"
"","19.00-19.59","11","18","176","187"
"","20.00-20.59","11","16","105","116"
"","21.00-21.59","12","18","81","93"
"","22.00-22.59","8","19","42","50"
"","23.00-23.59","3","17","22","25"
"","Total","287","","2212","2499"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","11","15","12","23"
"","01.00-01.59","1","15","5","6"
"","02.00-02.59","0","0","4","4"
"","03.00-03.59","0","0","10","10"
"","04.00-04.59","1","18","2","3"
"","05.00-05.59","2","21","2","4"
"","06.00-06.59","3","17","7","10"
"","07.00-07.59","2","16","25","27"
"","08.00-08.59","18","18","45","63"
"","09.00-09.59","13","17","83","96"
"","10.00-10.59","17","18","140","157"
"","11.00-11.59","7","18","133","140"
"","12.00-12.59","10","16","214","224"
"","13.00-13.59","14","15","259","273"
"","14.00-14.59","15","15","144","159"
"","15.00-15.59","11","17","178","189"
"","16.00-16.59","25","17","148","173"
"","17.00-17.59","75","18","272","347"
"","18.00-18.59","59","19","205","264"
"","19.00-19.59","25","19","114","139"
"","20.00-20.59","4","17","139","143"
"","21.00-21.59","5","17","78","83"
"","22.00-22.59","11","18","55","66"
"","23.00-23.59","6","17","24","30"
"","Total","335","","2298","2633"
"","","","","",""
