"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","47 - Inverleith Park","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","1","1"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","1","26","1","2"
"","07.00-07.59","5","18","2","7"
"","08.00-08.59","1","19","2","3"
"","09.00-09.59","2","18","13","15"
"","10.00-10.59","4","13","21","25"
"","11.00-11.59","3","19","34","37"
"","12.00-12.59","3","19","39","42"
"","13.00-13.59","1","15","48","49"
"","14.00-14.59","9","16","49","58"
"","15.00-15.59","9","12","73","82"
"","16.00-16.59","4","14","48","52"
"","17.00-17.59","2","15","15","17"
"","18.00-18.59","2","17","12","14"
"","19.00-19.59","1","18","9","10"
"","20.00-20.59","4","18","7","11"
"","21.00-21.59","2","10","5","7"
"","22.00-22.59","0","0","1","1"
"","23.00-23.59","0","0","1","1"
"","Total","53","","381","434"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","19","0","1"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","1","1"
"","06.00-06.59","3","19","6","9"
"","07.00-07.59","14","20","3","17"
"","08.00-08.59","27","18","3","30"
"","09.00-09.59","20","19","8","28"
"","10.00-10.59","2","19","18","20"
"","11.00-11.59","2","14","21","23"
"","12.00-12.59","4","24","26","30"
"","13.00-13.59","3","19","20","23"
"","14.00-14.59","5","16","25","30"
"","15.00-15.59","7","17","23","30"
"","16.00-16.59","7","21","19","26"
"","17.00-17.59","19","19","52","71"
"","18.00-18.59","9","19","41","50"
"","19.00-19.59","9","17","170","179"
"","20.00-20.59","3","24","11","14"
"","21.00-21.59","0","0","8","8"
"","22.00-22.59","1","19","4","5"
"","23.00-23.59","0","0","0","0"
"","Total","136","","459","595"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","1","1"
"","01.00-01.59","0","0","2","2"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","1","23","1","2"
"","06.00-06.59","3","16","11","14"
"","07.00-07.59","19","22","36","55"
"","08.00-08.59","36","19","61","97"
"","09.00-09.59","11","21","25","36"
"","10.00-10.59","6","19","12","18"
"","11.00-11.59","1","18","13","14"
"","12.00-12.59","5","18","27","32"
"","13.00-13.59","4","21","21","25"
"","14.00-14.59","6","18","17","23"
"","15.00-15.59","7","16","26","33"
"","16.00-16.59","5","18","24","29"
"","17.00-17.59","24","19","45","69"
"","18.00-18.59","13","20","29","42"
"","19.00-19.59","3","18","16","19"
"","20.00-20.59","2","24","9","11"
"","21.00-21.59","0","0","5","5"
"","22.00-22.59","3","20","4","7"
"","23.00-23.59","0","0","3","3"
"","Total","149","","388","537"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","1","21","1","2"
"","06.00-06.59","5","21","6","11"
"","07.00-07.59","22","20","12","34"
"","08.00-08.59","31","20","28","59"
"","09.00-09.59","15","19","22","37"
"","10.00-10.59","5","17","23","28"
"","11.00-11.59","3","18","19","22"
"","12.00-12.59","6","18","29","35"
"","13.00-13.59","10","19","34","44"
"","14.00-14.59","7","17","14","21"
"","15.00-15.59","5","14","23","28"
"","16.00-16.59","16","19","34","50"
"","17.00-17.59","22","19","46","68"
"","18.00-18.59","5","21","32","37"
"","19.00-19.59","8","21","39","47"
"","20.00-20.59","6","19","49","55"
"","21.00-21.59","2","21","11","13"
"","22.00-22.59","2","19","4","6"
"","23.00-23.59","0","0","1","1"
"","Total","171","","427","598"
"","","","","",""
"","","","","",""
