"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","27 - Harrison Park","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","1","1"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","1","12","0","1"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","1","15","0","1"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","4","15","0","4"
"","08.00-08.59","3","17","0","3"
"","09.00-09.59","8","13","0","8"
"","10.00-10.59","16","13","3","19"
"","11.00-11.59","21","13","8","29"
"","12.00-12.59","11","14","24","35"
"","13.00-13.59","26","12","32","58"
"","14.00-14.59","21","10","46","67"
"","15.00-15.59","18","14","42","60"
"","16.00-16.59","11","16","36","47"
"","17.00-17.59","11","13","13","24"
"","18.00-18.59","11","14","10","21"
"","19.00-19.59","9","14","7","16"
"","20.00-20.59","1","14","0","1"
"","21.00-21.59","1","14","0","1"
"","22.00-22.59","0","0","0","0"
"","23.00-23.59","0","0","0","0"
"","Total","174","","222","396"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","1","17","0","1"
"","06.00-06.59","8","15","0","8"
"","07.00-07.59","42","15","0","42"
"","08.00-08.59","114","15","2","116"
"","09.00-09.59","33","15","0","33"
"","10.00-10.59","14","14","2","16"
"","11.00-11.59","15","13","7","22"
"","12.00-12.59","8","14","21","29"
"","13.00-13.59","14","14","20","34"
"","14.00-14.59","7","14","15","22"
"","15.00-15.59","15","14","8","23"
"","16.00-16.59","17","14","17","34"
"","17.00-17.59","30","15","17","47"
"","18.00-18.59","16","14","17","33"
"","19.00-19.59","8","14","3","11"
"","20.00-20.59","4","16","6","10"
"","21.00-21.59","5","15","4","9"
"","22.00-22.59","1","16","1","2"
"","23.00-23.59","1","9","3","4"
"","Total","353","","143","496"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","1","1"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","1","10","0","1"
"","06.00-06.59","10","15","3","13"
"","07.00-07.59","53","15","1","54"
"","08.00-08.59","132","16","2","134"
"","09.00-09.59","35","15","11","46"
"","10.00-10.59","10","15","6","16"
"","11.00-11.59","14","16","10","24"
"","12.00-12.59","11","15","4","15"
"","13.00-13.59","11","15","13","24"
"","14.00-14.59","9","16","13","22"
"","15.00-15.59","12","13","6","18"
"","16.00-16.59","14","16","16","30"
"","17.00-17.59","25","17","11","36"
"","18.00-18.59","16","15","6","22"
"","19.00-19.59","6","15","4","10"
"","20.00-20.59","2","13","4","6"
"","21.00-21.59","4","14","4","8"
"","22.00-22.59","4","16","3","7"
"","23.00-23.59","1","18","0","1"
"","Total","370","","118","488"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","9","15","1","10"
"","07.00-07.59","42","16","0","42"
"","08.00-08.59","128","16","5","133"
"","09.00-09.59","37","15","6","43"
"","10.00-10.59","14","13","8","22"
"","11.00-11.59","10","14","25","35"
"","12.00-12.59","27","11","15","42"
"","13.00-13.59","18","15","25","43"
"","14.00-14.59","14","15","13","27"
"","15.00-15.59","13","15","10","23"
"","16.00-16.59","39","14","18","57"
"","17.00-17.59","40","15","20","60"
"","18.00-18.59","12","15","10","22"
"","19.00-19.59","10","17","5","15"
"","20.00-20.59","11","13","2","13"
"","21.00-21.59","5","15","2","7"
"","22.00-22.59","1","15","1","2"
"","23.00-23.59","0","0","0","0"
"","Total","430","","166","596"
"","","","","",""
"","","","","",""
