"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","44 - Melville Drive 3 Bus 1","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","13","13"
"","01.00-01.59","3","19","7","10"
"","02.00-02.59","0","0","10","10"
"","03.00-03.59","0","0","6","6"
"","04.00-04.59","0","0","4","4"
"","05.00-05.59","1","22","3","4"
"","06.00-06.59","0","0","7","7"
"","07.00-07.59","2","20","4","6"
"","08.00-08.59","7","28","8","15"
"","09.00-09.59","5","28","27","32"
"","10.00-10.59","6","24","41","47"
"","11.00-11.59","14","24","57","71"
"","12.00-12.59","10","24","60","70"
"","13.00-13.59","10","23","34","44"
"","14.00-14.59","10","25","47","57"
"","15.00-15.59","10","25","53","63"
"","16.00-16.59","8","21","54","62"
"","17.00-17.59","7","23","44","51"
"","18.00-18.59","7","18","30","37"
"","19.00-19.59","6","25","34","40"
"","20.00-20.59","2","25","24","26"
"","21.00-21.59","4","22","11","15"
"","22.00-22.59","3","22","21","24"
"","23.00-23.59","5","23","10","15"
"","Total","120","","609","729"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","3","3"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","1","1"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","3","23","6","9"
"","07.00-07.59","10","23","18","28"
"","08.00-08.59","38","23","21","59"
"","09.00-09.59","20","21","20","40"
"","10.00-10.59","8","24","20","28"
"","11.00-11.59","15","23","21","36"
"","12.00-12.59","11","21","72","83"
"","13.00-13.59","8","23","47","55"
"","14.00-14.59","15","24","12","27"
"","15.00-15.59","9","24","23","32"
"","16.00-16.59","27","22","48","75"
"","17.00-17.59","71","24","72","143"
"","18.00-18.59","43","24","91","134"
"","19.00-19.59","22","22","42","64"
"","20.00-20.59","6","24","31","37"
"","21.00-21.59","8","17","22","30"
"","22.00-22.59","5","23","10","15"
"","23.00-23.59","7","18","7","14"
"","Total","326","","587","913"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","3","19","1","4"
"","01.00-01.59","0","0","1","1"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","2","2"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","2","18","9","11"
"","07.00-07.59","16","24","24","40"
"","08.00-08.59","30","24","22","52"
"","09.00-09.59","21","23","21","42"
"","10.00-10.59","11","21","21","32"
"","11.00-11.59","13","21","24","37"
"","12.00-12.59","8","22","45","53"
"","13.00-13.59","11","24","46","57"
"","14.00-14.59","6","21","25","31"
"","15.00-15.59","14","24","35","49"
"","16.00-16.59","31","25","30","61"
"","17.00-17.59","67","26","81","148"
"","18.00-18.59","42","24","99","141"
"","19.00-19.59","20","24","93","113"
"","20.00-20.59","13","22","43","56"
"","21.00-21.59","11","23","16","27"
"","22.00-22.59","5","19","19","24"
"","23.00-23.59","5","21","20","25"
"","Total","329","","677","1006"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","2","2"
"","01.00-01.59","1","16","4","5"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","5","19","18","23"
"","07.00-07.59","11","22","23","34"
"","08.00-08.59","46","23","19","65"
"","09.00-09.59","22","23","21","43"
"","10.00-10.59","12","22","18","30"
"","11.00-11.59","2","23","13","15"
"","12.00-12.59","14","22","52","66"
"","13.00-13.59","22","24","48","70"
"","14.00-14.59","7","26","27","34"
"","15.00-15.59","19","24","25","44"
"","16.00-16.59","30","25","39","69"
"","17.00-17.59","43","23","78","121"
"","18.00-18.59","54","25","120","174"
"","19.00-19.59","23","22","74","97"
"","20.00-20.59","9","26","36","45"
"","21.00-21.59","13","21","18","31"
"","22.00-22.59","8","21","9","17"
"","23.00-23.59","5","23","20","25"
"","Total","346","","664","1010"
"","","","","",""
"","","","","",""
