"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","45 - Melville Drive 4 Bus 2","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","2","15","16","18"
"","01.00-01.59","1","15","2","3"
"","02.00-02.59","0","0","7","7"
"","03.00-03.59","1","22","2","3"
"","04.00-04.59","0","0","1","1"
"","05.00-05.59","0","0","1","1"
"","06.00-06.59","2","19","1","3"
"","07.00-07.59","1","17","9","10"
"","08.00-08.59","9","21","18","27"
"","09.00-09.59","8","18","28","36"
"","10.00-10.59","22","20","33","55"
"","11.00-11.59","19","18","42","61"
"","12.00-12.59","19","19","38","57"
"","13.00-13.59","19","18","33","52"
"","14.00-14.59","19","18","51","70"
"","15.00-15.59","15","19","56","71"
"","16.00-16.59","21","20","46","67"
"","17.00-17.59","16","19","60","76"
"","18.00-18.59","4","22","50","54"
"","19.00-19.59","11","17","56","67"
"","20.00-20.59","7","22","33","40"
"","21.00-21.59","3","19","10","13"
"","22.00-22.59","5","20","11","16"
"","23.00-23.59","1","16","8","9"
"","Total","205","","612","817"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","2","2"
"","01.00-01.59","0","0","1","1"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","2","2"
"","04.00-04.59","1","19","1","2"
"","05.00-05.59","0","0","1","1"
"","06.00-06.59","13","24","9","22"
"","07.00-07.59","36","20","73","109"
"","08.00-08.59","88","20","202","290"
"","09.00-09.59","45","20","66","111"
"","10.00-10.59","14","21","29","43"
"","11.00-11.59","14","22","39","53"
"","12.00-12.59","13","19","63","76"
"","13.00-13.59","16","22","52","68"
"","14.00-14.59","19","20","38","57"
"","15.00-15.59","17","20","69","86"
"","16.00-16.59","23","19","69","92"
"","17.00-17.59","64","20","91","155"
"","18.00-18.59","32","19","56","88"
"","19.00-19.59","25","19","40","65"
"","20.00-20.59","14","24","49","63"
"","21.00-21.59","9","20","10","19"
"","22.00-22.59","5","19","7","12"
"","23.00-23.59","0","0","14","14"
"","Total","448","","983","1431"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","26","5","6"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","1","1"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","1","21","1","2"
"","05.00-05.59","1","31","5","6"
"","06.00-06.59","11","23","14","25"
"","07.00-07.59","36","19","69","105"
"","08.00-08.59","106","20","238","344"
"","09.00-09.59","54","20","81","135"
"","10.00-10.59","15","18","37","52"
"","11.00-11.59","15","21","51","66"
"","12.00-12.59","16","20","40","56"
"","13.00-13.59","23","21","54","77"
"","14.00-14.59","14","20","59","73"
"","15.00-15.59","14","18","39","53"
"","16.00-16.59","23","18","69","92"
"","17.00-17.59","40","19","74","114"
"","18.00-18.59","33","18","48","81"
"","19.00-19.59","32","20","42","74"
"","20.00-20.59","12","21","38","50"
"","21.00-21.59","10","20","25","35"
"","22.00-22.59","5","19","10","15"
"","23.00-23.59","1","17","7","8"
"","Total","463","","1007","1470"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","21","3","4"
"","01.00-01.59","0","0","1","1"
"","02.00-02.59","0","0","3","3"
"","03.00-03.59","0","0","6","6"
"","04.00-04.59","1","18","0","1"
"","05.00-05.59","0","0","3","3"
"","06.00-06.59","11","23","15","26"
"","07.00-07.59","46","21","58","104"
"","08.00-08.59","100","20","242","342"
"","09.00-09.59","49","20","93","142"
"","10.00-10.59","21","19","47","68"
"","11.00-11.59","18","22","39","57"
"","12.00-12.59","32","20","43","75"
"","13.00-13.59","21","21","60","81"
"","14.00-14.59","15","19","59","74"
"","15.00-15.59","15","19","50","65"
"","16.00-16.59","36","18","62","98"
"","17.00-17.59","50","19","101","151"
"","18.00-18.59","31","19","59","90"
"","19.00-19.59","25","19","54","79"
"","20.00-20.59","22","21","47","69"
"","21.00-21.59","9","22","14","23"
"","22.00-22.59","6","21","16","22"
"","23.00-23.59","4","22","14","18"
"","Total","513","","1089","1602"
"","","","","",""
