"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","25 - Straiton Path","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","0","0","0","0"
"","08.00-08.59","0","0","0","0"
"","09.00-09.59","0","0","0","0"
"","10.00-10.59","1","17","1","2"
"","11.00-11.59","2","18","3","5"
"","12.00-12.59","1","15","0","1"
"","13.00-13.59","2","15","3","5"
"","14.00-14.59","5","19","4","9"
"","15.00-15.59","13","18","4","17"
"","16.00-16.59","2","14","2","4"
"","17.00-17.59","1","18","1","2"
"","18.00-18.59","0","0","0","0"
"","19.00-19.59","0","0","0","0"
"","20.00-20.59","0","0","0","0"
"","21.00-21.59","0","0","0","0"
"","22.00-22.59","0","0","0","0"
"","23.00-23.59","0","0","0","0"
"","Total","27","","18","45"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","2","21","0","2"
"","08.00-08.59","2","18","0","2"
"","09.00-09.59","3","16","1","4"
"","10.00-10.59","1","14","0","1"
"","11.00-11.59","1","14","1","2"
"","12.00-12.59","0","0","1","1"
"","13.00-13.59","1","19","0","1"
"","14.00-14.59","1","20","2","3"
"","15.00-15.59","1","20","1","2"
"","16.00-16.59","0","0","0","0"
"","17.00-17.59","1","12","0","1"
"","18.00-18.59","3","19","4","7"
"","19.00-19.59","1","19","0","1"
"","20.00-20.59","0","0","0","0"
"","21.00-21.59","0","0","0","0"
"","22.00-22.59","0","0","0","0"
"","23.00-23.59","0","0","0","0"
"","Total","17","","10","27"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","3","22","0","3"
"","08.00-08.59","3","22","0","3"
"","09.00-09.59","0","0","0","0"
"","10.00-10.59","1","24","0","1"
"","11.00-11.59","2","23","0","2"
"","12.00-12.59","0","0","0","0"
"","13.00-13.59","4","19","0","4"
"","14.00-14.59","0","0","1","1"
"","15.00-15.59","1","21","0","1"
"","16.00-16.59","1","24","0","1"
"","17.00-17.59","4","20","0","4"
"","18.00-18.59","1","21","1","2"
"","19.00-19.59","0","0","0","0"
"","20.00-20.59","1","18","1","2"
"","21.00-21.59","0","0","0","0"
"","22.00-22.59","0","0","0","0"
"","23.00-23.59","0","0","0","0"
"","Total","21","","3","24"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","3","22","0","3"
"","08.00-08.59","4","21","0","4"
"","09.00-09.59","3","20","0","3"
"","10.00-10.59","2","17","2","4"
"","11.00-11.59","2","16","0","2"
"","12.00-12.59","0","0","2","2"
"","13.00-13.59","2","13","3","5"
"","14.00-14.59","1","19","1","2"
"","15.00-15.59","4","19","0","4"
"","16.00-16.59","3","19","0","3"
"","17.00-17.59","4","21","0","4"
"","18.00-18.59","1","22","2","3"
"","19.00-19.59","0","0","0","0"
"","20.00-20.59","0","0","0","0"
"","21.00-21.59","0","0","1","1"
"","22.00-22.59","0","0","0","0"
"","23.00-23.59","0","0","0","0"
"","Total","29","","11","40"
"","","","","",""
"","","","","",""
