"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","42 - Melville Drive 1 Main","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","3","17","4","7"
"","01.00-01.59","5","18","5","10"
"","02.00-02.59","3","15","4","7"
"","03.00-03.59","0","0","4","4"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","4","19","0","4"
"","08.00-08.59","4","18","4","8"
"","09.00-09.59","12","19","22","34"
"","10.00-10.59","16","18","36","52"
"","11.00-11.59","29","18","51","80"
"","12.00-12.59","31","18","43","74"
"","13.00-13.59","33","17","37","70"
"","14.00-14.59","35","17","55","90"
"","15.00-15.59","34","16","54","88"
"","16.00-16.59","31","18","54","85"
"","17.00-17.59","30","19","37","67"
"","18.00-18.59","19","19","34","53"
"","19.00-19.59","27","21","25","52"
"","20.00-20.59","19","18","21","40"
"","21.00-21.59","13","18","17","30"
"","22.00-22.59","12","19","7","19"
"","23.00-23.59","9","20","7","16"
"","Total","369","","521","890"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","2","16","0","2"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","1","12","1","2"
"","04.00-04.59","0","0","1","1"
"","05.00-05.59","0","0","3","3"
"","06.00-06.59","4","20","7","11"
"","07.00-07.59","25","20","17","42"
"","08.00-08.59","55","22","55","110"
"","09.00-09.59","22","19","28","50"
"","10.00-10.59","10","18","33","43"
"","11.00-11.59","21","17","32","53"
"","12.00-12.59","22","23","14","36"
"","13.00-13.59","28","21","38","66"
"","14.00-14.59","26","21","29","55"
"","15.00-15.59","32","19","28","60"
"","16.00-16.59","61","21","43","104"
"","17.00-17.59","102","21","97","199"
"","18.00-18.59","73","21","99","172"
"","19.00-19.59","49","21","40","89"
"","20.00-20.59","48","19","33","81"
"","21.00-21.59","30","19","13","43"
"","22.00-22.59","12","19","8","20"
"","23.00-23.59","13","19","10","23"
"","Total","636","","629","1265"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","9","20","1","10"
"","01.00-01.59","2","24","1","3"
"","02.00-02.59","0","0","1","1"
"","03.00-03.59","1","23","0","1"
"","04.00-04.59","1","32","0","1"
"","05.00-05.59","1","23","3","4"
"","06.00-06.59","7","22","11","18"
"","07.00-07.59","22","23","39","61"
"","08.00-08.59","54","22","93","147"
"","09.00-09.59","35","22","56","91"
"","10.00-10.59","10","21","50","60"
"","11.00-11.59","16","22","16","32"
"","12.00-12.59","31","21","37","68"
"","13.00-13.59","35","20","64","99"
"","14.00-14.59","15","18","35","50"
"","15.00-15.59","34","19","55","89"
"","16.00-16.59","79","20","52","131"
"","17.00-17.59","119","20","91","210"
"","18.00-18.59","93","19","118","211"
"","19.00-19.59","59","20","71","130"
"","20.00-20.59","35","19","40","75"
"","21.00-21.59","29","19","16","45"
"","22.00-22.59","21","19","15","36"
"","23.00-23.59","13","16","8","21"
"","Total","721","","873","1594"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","2","17","3","5"
"","01.00-01.59","2","18","4","6"
"","02.00-02.59","1","23","0","1"
"","03.00-03.59","1","19","1","2"
"","04.00-04.59","0","0","1","1"
"","05.00-05.59","2","19","1","3"
"","06.00-06.59","6","22","8","14"
"","07.00-07.59","23","23","18","41"
"","08.00-08.59","56","23","63","119"
"","09.00-09.59","43","21","43","86"
"","10.00-10.59","21","20","51","72"
"","11.00-11.59","17","22","41","58"
"","12.00-12.59","41","21","66","107"
"","13.00-13.59","33","20","34","67"
"","14.00-14.59","22","19","36","58"
"","15.00-15.59","50","18","45","95"
"","16.00-16.59","70","20","60","130"
"","17.00-17.59","128","20","72","200"
"","18.00-18.59","93","20","90","183"
"","19.00-19.59","59","20","74","133"
"","20.00-20.59","31","19","55","86"
"","21.00-21.59","30","19","16","46"
"","22.00-22.59","22","19","16","38"
"","23.00-23.59","10","18","18","28"
"","Total","763","","816","1579"
"","","","","",""
"","","","","",""
