"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","22 - Nth Meadow Walk East 1","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","15","6","7"
"","01.00-01.59","1","26","4","5"
"","02.00-02.59","2","23","7","9"
"","03.00-03.59","0","0","5","5"
"","04.00-04.59","1","21","1","2"
"","05.00-05.59","1","10","1","2"
"","06.00-06.59","0","0","2","2"
"","07.00-07.59","0","0","1","1"
"","08.00-08.59","2","16","9","11"
"","09.00-09.59","11","16","40","51"
"","10.00-10.59","15","18","69","84"
"","11.00-11.59","19","19","82","101"
"","12.00-12.59","29","18","103","132"
"","13.00-13.59","39","17","55","94"
"","14.00-14.59","28","16","95","123"
"","15.00-15.59","19","15","73","92"
"","16.00-16.59","17","14","11","28"
"","17.00-17.59","16","16","13","29"
"","18.00-18.59","8","16","15","23"
"","19.00-19.59","7","18","5","12"
"","20.00-20.59","7","17","10","17"
"","21.00-21.59","6","19","8","14"
"","22.00-22.59","6","18","7","13"
"","23.00-23.59","10","18","1","11"
"","Total","245","","623","868"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","3","20","0","3"
"","01.00-01.59","1","19","0","1"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","1","11","0","1"
"","06.00-06.59","5","22","2","7"
"","07.00-07.59","22","20","0","22"
"","08.00-08.59","38","19","0","38"
"","09.00-09.59","41","20","0","41"
"","10.00-10.59","26","19","26","52"
"","11.00-11.59","19","19","36","55"
"","12.00-12.59","13","18","45","58"
"","13.00-13.59","9","17","15","24"
"","14.00-14.59","14","17","21","35"
"","15.00-15.59","11","19","28","39"
"","16.00-16.59","17","19","36","53"
"","17.00-17.59","26","18","88","114"
"","18.00-18.59","16","19","120","136"
"","19.00-19.59","13","18","53","66"
"","20.00-20.59","11","20","41","52"
"","21.00-21.59","15","17","22","37"
"","22.00-22.59","4","24","11","15"
"","23.00-23.59","5","16","9","14"
"","Total","310","","553","863"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","2","17","4","6"
"","01.00-01.59","2","14","4","6"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","1","38","0","1"
"","05.00-05.59","0","0","1","1"
"","06.00-06.59","8","19","11","19"
"","07.00-07.59","19","20","33","52"
"","08.00-08.59","42","19","75","117"
"","09.00-09.59","27","18","43","70"
"","10.00-10.59","13","17","33","46"
"","11.00-11.59","12","19","25","37"
"","12.00-12.59","36","18","58","94"
"","13.00-13.59","13","18","53","66"
"","14.00-14.59","12","18","35","47"
"","15.00-15.59","23","18","50","73"
"","16.00-16.59","38","20","91","129"
"","17.00-17.59","46","20","131","177"
"","18.00-18.59","24","21","151","175"
"","19.00-19.59","19","19","77","96"
"","20.00-20.59","8","16","42","50"
"","21.00-21.59","12","17","39","51"
"","22.00-22.59","6","19","14","20"
"","23.00-23.59","2","15","10","12"
"","Total","365","","980","1345"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","20","7","8"
"","01.00-01.59","0","0","1","1"
"","02.00-02.59","2","18","1","3"
"","03.00-03.59","0","0","1","1"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","2","15","2","4"
"","06.00-06.59","4","19","21","25"
"","07.00-07.59","15","19","32","47"
"","08.00-08.59","24","20","47","71"
"","09.00-09.59","22","19","62","84"
"","10.00-10.59","19","19","48","67"
"","11.00-11.59","17","18","47","64"
"","12.00-12.59","28","20","80","108"
"","13.00-13.59","21","18","65","86"
"","14.00-14.59","23","19","29","52"
"","15.00-15.59","20","18","29","49"
"","16.00-16.59","19","21","50","69"
"","17.00-17.59","33","17","82","115"
"","18.00-18.59","16","17","105","121"
"","19.00-19.59","17","18","91","108"
"","20.00-20.59","9","18","51","60"
"","21.00-21.59","14","20","26","40"
"","22.00-22.59","9","18","33","42"
"","23.00-23.59","7","19","20","27"
"","Total","322","","930","1252"
"","","","","",""
"","","","","",""
