"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","23 - Nth Meadow Walk East 2","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","5","5"
"","01.00-01.59","0","0","8","8"
"","02.00-02.59","1","14","5","6"
"","03.00-03.59","1","14","5","6"
"","04.00-04.59","0","0","1","1"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","0","0","0","0"
"","08.00-08.59","1","16","1","2"
"","09.00-09.59","3","9","4","7"
"","10.00-10.59","1","13","15","16"
"","11.00-11.59","7","13","18","25"
"","12.00-12.59","5","10","36","41"
"","13.00-13.59","12","13","27","39"
"","14.00-14.59","9","12","45","54"
"","15.00-15.59","9","11","56","65"
"","16.00-16.59","9","14","34","43"
"","17.00-17.59","8","13","31","39"
"","18.00-18.59","8","14","15","23"
"","19.00-19.59","3","15","19","22"
"","20.00-20.59","0","0","6","6"
"","21.00-21.59","2","17","5","7"
"","22.00-22.59","1","18","3","4"
"","23.00-23.59","2","11","6","8"
"","Total","82","","345","427"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","2","13","0","2"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","3","16","4","7"
"","08.00-08.59","10","12","1","11"
"","09.00-09.59","8","12","7","15"
"","10.00-10.59","2","13","8","10"
"","11.00-11.59","5","13","18","23"
"","12.00-12.59","3","12","26","29"
"","13.00-13.59","6","14","31","37"
"","14.00-14.59","4","15","14","18"
"","15.00-15.59","8","14","27","35"
"","16.00-16.59","7","12","29","36"
"","17.00-17.59","12","14","35","47"
"","18.00-18.59","16","11","94","110"
"","19.00-19.59","4","17","44","48"
"","20.00-20.59","5","16","15","20"
"","21.00-21.59","5","12","17","22"
"","22.00-22.59","5","12","12","17"
"","23.00-23.59","1","19","6","7"
"","Total","106","","388","494"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","4","4"
"","01.00-01.59","0","0","5","5"
"","02.00-02.59","0","0","1","1"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","2","15","5","7"
"","08.00-08.59","11","13","13","24"
"","09.00-09.59","4","9","14","18"
"","10.00-10.59","3","17","9","12"
"","11.00-11.59","4","11","13","17"
"","12.00-12.59","4","11","13","17"
"","13.00-13.59","8","12","23","31"
"","14.00-14.59","5","14","20","25"
"","15.00-15.59","5","13","15","20"
"","16.00-16.59","10","13","15","25"
"","17.00-17.59","13","13","38","51"
"","18.00-18.59","12","14","37","49"
"","19.00-19.59","6","15","33","39"
"","20.00-20.59","6","15","11","17"
"","21.00-21.59","8","12","16","24"
"","22.00-22.59","4","14","10","14"
"","23.00-23.59","2","15","12","14"
"","Total","107","","307","414"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","3","3"
"","01.00-01.59","0","0","1","1"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","0","0"
"","06.00-06.59","0","0","2","2"
"","07.00-07.59","1","11","1","2"
"","08.00-08.59","15","13","3","18"
"","09.00-09.59","2","14","6","8"
"","10.00-10.59","6","15","17","23"
"","11.00-11.59","9","12","20","29"
"","12.00-12.59","3","16","35","38"
"","13.00-13.59","10","13","34","44"
"","14.00-14.59","10","13","31","41"
"","15.00-15.59","8","11","32","40"
"","16.00-16.59","9","14","32","41"
"","17.00-17.59","14","15","46","60"
"","18.00-18.59","8","14","184","192"
"","19.00-19.59","13","14","72","85"
"","20.00-20.59","5","14","16","21"
"","21.00-21.59","4","13","18","22"
"","22.00-22.59","4","17","10","14"
"","23.00-23.59","2","17","5","7"
"","Total","123","","568","691"
"","","","","",""
"","","","","",""
